idfish,idfisher,species,date,length,tide,next.tide,tide.classification,hour.catch,date.catch,min.temp,max.temp,rain.mm,max.wind.direction,max.wind.speed,max.wind.speed.time,nine.am.wind.direction,nine.am.wind.speed,three.pm.wind.direction,three.pm.wind.speed
14128,3080,BARRAMUNDI,2019-01-18 09:58:00,760,2.86,1.09,falling,9,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14131,343,BARRAMUNDI,2019-01-18 08:33:00,360,3.7,1.09,falling,8,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14133,529,BARRAMUNDI,2019-01-18 09:44:00,720,2.86,1.09,falling,9,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14139,3052,BARRAMUNDI,2019-01-18 16:46:00,760,2.69,3.54,rising,16,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14140,513,BARRAMUNDI,2019-01-18 17:51:00,740,3.18,3.54,top,17,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14148,2895,BARRAMUNDI,2019-01-18 19:27:00,750,3.52,0.76,top,19,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14149,513,BARRAMUNDI,2019-01-18 19:34:00,740,3.52,0.76,top,19,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14150,513,BARRAMUNDI,2019-01-18 19:58:00,770,3.47,0.76,falling,19,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14154,3072,BARRAMUNDI,2019-01-18 17:39:00,720,3.18,3.54,top,17,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14155,3072,BARRAMUNDI,2019-01-18 18:14:00,780,3.41,3.54,top,18,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14156,3035,BARRAMUNDI,2019-01-18 20:35:00,720,3.27,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14157,2895,BARRAMUNDI,2019-01-18 20:34:00,690,3.27,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14158,529,BARRAMUNDI,2019-01-18 20:49:00,760,3.13,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14159,2854,BARRAMUNDI,2019-01-18 21:01:00,760,2.97,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14160,513,BARRAMUNDI,2019-01-18 21:05:00,780,2.97,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14165,308,BARRAMUNDI,2019-01-18 20:06:00,700,2.97,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14166,427,BARRAMUNDI,2019-01-18 19:57:00,755,3.47,0.76,falling,19,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14167,427,BARRAMUNDI,2019-01-18 20:58:00,795,2.97,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14168,3035,BARRAMUNDI,2019-01-18 22:40:00,740,1.93,0.76,falling,22,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14169,728,BARRAMUNDI,2019-01-18 20:43:00,720,3.52,0.76,falling,20,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14170,3080,BARRAMUNDI,2019-01-18 21:11:00,710,3.31,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14171,728,BARRAMUNDI,2019-01-18 21:26:00,810,3.09,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14173,3080,BARRAMUNDI,2019-01-18 21:44:00,760,2.86,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14174,3079,BARRAMUNDI,2019-01-18 21:50:00,790,2.86,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14175,3080,BARRAMUNDI,2019-01-18 22:02:00,700,2.62,0.76,falling,22,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14176,3035,BARRAMUNDI,2019-01-18 23:37:00,730,1.54,0.76,bottom,23,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14177,1334,BARRAMUNDI,2019-01-18 22:32:00,790,3.09,0.76,falling,22,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14178,529,BARRAMUNDI,2019-01-18 22:28:00,780,2.38,0.76,falling,22,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14180,529,BARRAMUNDI,2019-01-18 21:34:00,730,3.09,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14182,3027,BARRAMUNDI,2019-01-18 12:03:00,775,1.38,1.09,bottom,12,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14183,3027,BARRAMUNDI,2019-01-18 21:27:00,740,2.78,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14184,3027,BARRAMUNDI,2019-01-18 21:43:00,700,2.58,0.76,falling,21,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14185,3037,BARRAMUNDI,2019-01-19 05:48:00,715,3.67,4.42,rising,5,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14186,401,BARRAMUNDI,2019-01-19 05:52:00,670,3.67,4.42,rising,5,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14188,343,BARRAMUNDI,2019-01-19 06:18:00,780,3.88,4.42,rising,6,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14189,529,BARRAMUNDI,2019-01-19 07:09:00,760,4.33,4.42,top,7,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14193,2993,BARRAMUNDI,2019-01-19 09:56:00,770,3.45,0.85,falling,9,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14195,2993,BARRAMUNDI,2019-01-19 00:00:00,740,1.03,0.76,falling,0,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14196,2993,BARRAMUNDI,2019-01-19 00:00:00,725,1.03,0.76,falling,0,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14197,2993,BARRAMUNDI,2019-01-19 00:00:00,755,1.03,0.76,falling,0,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14198,1334,BARRAMUNDI,2019-01-19 10:44:00,410,2.64,0.85,falling,10,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14199,1675,BARRAMUNDI,2019-01-18 16:20:00,730,2.32,3.54,rising,16,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14200,1675,BARRAMUNDI,2019-01-18 17:20:00,650,3.04,3.54,rising,17,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14201,1675,BARRAMUNDI,2019-01-18 18:00:00,750,3.31,3.54,rising,18,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14202,3080,BARRAMUNDI,2019-01-19 08:48:00,760,4.23,0.85,falling,8,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14203,3072,BARRAMUNDI,2019-01-19 08:07:00,660,4.4,0.85,falling,8,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14204,2895,BARRAMUNDI,2019-01-19 18:17:00,760,3.08,3.66,rising,18,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14216,1334,BARRAMUNDI,2019-01-19 19:39:00,740,3.59,3.66,top,19,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14217,3094,BARRAMUNDI,2019-01-19 18:42:00,755,3.25,3.66,rising,18,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14218,1334,BARRAMUNDI,2019-01-19 20:18:00,740,3.64,0.59,top,20,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14219,2895,BARRAMUNDI,2019-01-19 20:20:00,710,3.64,0.59,top,20,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14220,513,BARRAMUNDI,2019-01-19 20:31:00,750,3.64,0.59,top,20,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14221,343,BARRAMUNDI,2019-01-18 10:34:00,780,2.38,1.09,falling,10,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14222,343,BARRAMUNDI,2019-01-19 19:53:00,730,3.64,3.66,top,19,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14223,1334,BARRAMUNDI,2019-01-19 21:04:00,650,3.49,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14224,343,BARRAMUNDI,2019-01-19 21:33:00,770,3.21,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14228,494,BARRAMUNDI,2019-01-19 21:53:00,860,3.03,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14229,494,BARRAMUNDI,2019-01-19 21:55:00,730,3.03,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14230,1334,BARRAMUNDI,2019-01-19 21:58:00,700,3.03,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14231,1334,BARRAMUNDI,2019-01-19 22:32:00,790,2.6,0.59,falling,22,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14232,3080,BARRAMUNDI,2019-01-19 20:50:00,850,3.58,0.59,falling,20,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14233,3080,BARRAMUNDI,2019-01-19 21:22:00,760,3.37,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14234,3079,BARRAMUNDI,2019-01-19 21:48:00,750,3.03,0.59,falling,21,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14235,3079,BARRAMUNDI,2019-01-19 22:47:00,860,2.37,0.59,falling,22,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14236,529,BARRAMUNDI,2019-01-19 23:02:00,780,2.13,0.59,falling,23,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14237,728,BARRAMUNDI,2019-01-19 23:09:00,800,2.13,0.59,falling,23,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14238,3080,BARRAMUNDI,2019-01-19 23:19:00,740,1.88,0.59,falling,23,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14239,728,BARRAMUNDI,2019-01-20 00:46:00,740,1.04,0.59,falling,0,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14240,427,BARRAMUNDI,2019-01-19 23:55:00,770,1.43,0.59,falling,23,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14242,308,BARRAMUNDI,2019-01-19 19:41:00,815,3.21,3.66,falling,19,2019-01-19,24.3,31,0,ESE,39,09:42,ESE,22,ENE,28
14245,3081,BARRAMUNDI,2019-01-20 06:41:00,740,3.8,4.63,rising,6,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14246,2993,BARRAMUNDI,2019-01-20 00:00:00,895,1.43,0.59,falling,0,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14247,3072,BARRAMUNDI,2019-01-20 06:07:00,690,3.53,4.63,rising,6,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14248,3072,BARRAMUNDI,2019-01-20 07:22:00,790,4.24,4.63,top,7,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14249,3109,BARRAMUNDI,2019-01-20 00:00:00,450,1.43,0.59,falling,0,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14250,3078,BARRAMUNDI,2019-01-20 08:04:00,680,4.53,4.63,top,8,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14251,3052,BARRAMUNDI,2019-01-20 08:34:00,740,4.63,0.65,top,8,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14252,3035,BARRAMUNDI,2019-01-20 09:16:00,710,4.41,0.65,top,9,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14253,343,BARRAMUNDI,2019-01-20 09:17:00,685,4.41,0.65,top,9,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14255,3078,BARRAMUNDI,2019-01-20 09:35:00,760,4.41,0.65,top,9,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
14256,343,BARRAMUNDI,2019-01-20 09:44:00,760,4.25,0.65,top,9,2019-01-20,22,31.3,0,E,48,12:40,ESE,24,ENE,31
